ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
CTPP_c,Nucleoside-triphosphatase,nucleotide metabolism,0.000176475857856774,0.000199827277960022,0.000139535582127265,0.000139535582127265
ADPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,0.000297686608465686,0.000337076727532473,0.000235374258599505,0.000288988641062919
CDPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,0.000176475857856774,0.000199827277960022,0.000139535582127265,0.000139535582127265
dADPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,0.000297686608465686,0.000337076727532473,0.000235374258599505,0.000288988641062919
dCDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,0.000176475857856774,0.000199827277960022,0.000139535582127265,0.000139535582127265
Bio_opt,Light limiting biomass,biomass reaction,0.000437189361979855,0.000437189361979855,0.000345676019737564,0.000384084677486182
