ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
Enol_c,Enolase,"gluconeogenesis, glycolysis",0,0,0,1,0.0004,0.00101593849059672,0.0004,0.00101593849059672,-96.5110980535266,-0.279080995092727,-100,0.0369125857670056
PGAM_c,PGA mutase,"gluconeogenesis, glycolysis",0,0,0,1,0.0004,0.00101593849059672,0.0004,0.00101593849059672,-96.5110980535264,-0.279080995092732,-100,0.036912585767075
Tr_H2Oh,H2O diffusion,"transport",0,0,0,1,0.0004,0.00101593849059672,0.0004,0.00101593849059672,4.3215869565705,100,-1.82654941150239,100
