ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
Enol_c,Enolase,"gluconeogenesis, glycolysis",0,0,0,1,0.0004,0.00101593849059672,0.0004,0.00101593849059672,-99.671653151506,-0.126516230616222,-100,0.137933366680269
PGAM_c,PGA mutase,"gluconeogenesis, glycolysis",0,0,0,1,0.0004,0.00101593849059672,0.0004,0.00101593849059672,-99.6668102548933,-0.126516230616116,-100,0.137933366680101
Tr_H2Oh,H2O diffusion,"transport",0,0,0,1,0.0004,0.00101593849059672,0.0004,0.00101593849059672,1.09950595642133,100,-2.65917689793278,100
