ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
Enol_c,Enolase,"gluconeogenesis, glycolysis",0,0,0,1,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-95.8347195705929,-0.322669505824141,-100,0.375652713926768
PGAM_c,PGA mutase,"gluconeogenesis, glycolysis",0,0,0,1,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-95.8347195705937,-0.322669505823988,-100,0.375652713926756
AlaTA_x,Ala transaminase,"alanine synthesis",0,0,1,0,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-99.8584784777357,3.27836219923497,0,7.78677864927001
AspAT_c,Asp aminotransferase,"aspartate synthesis",0,0,1,0,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-99.7827459170632,3.3540947599062,0.0639037057768681,7.85068235504471
AspAT_x,Asp aminotransferase,"aspartate synthesis",0,0,1,0,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-3.2783621992329,99.8575768743581,-7.78677864926943,0
Tr_H2Oh,H2O diffusion,"transport",0,0,0,1,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,5.01113236590819,100,-1.90770104928947,100
Tr_NH41,NH4 diffusion,"transport",0,0,0,1,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,0.0623001490409664,4.2211269010035,-0.599073271528822,8.58229061378037
Tr_Pyr3,Pyr diffusion,"transport",0,0,1,0,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-99.8584784777358,3.27836219923465,0,7.78677864927001
Tr_OAA,OAA diffusion,"transport",0,0,1,0,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-3.27836219922754,99.8584784777356,-7.78677864926943,0
Tr_Asp,Asp diffusion,"transport",0,0,1,0,0.000914344641537051,0.00101593849059672,0.000914344641537052,0.00101593849059672,-99.8584784777345,3.27836219923465,0,7.78677864926909
