ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
ADPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,7.11717500985396e-05,0.000111120038787708,5.9958777436341e-05,5.9958777436341e-05
dADPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,7.11717500985396e-05,0.000111120038787708,5.9958777436341e-05,5.9958777436341e-05
Bio_opt,Light limiting biomass,biomass reaction,0.000104524460058656,0.00015931171094982,8.80568319401111e-05,9.78411354890123e-05
