ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
DHFR_c,Dihydrofolate reductase,THF recycling,9.93282368644405e-05,0.000111155258608856,8.38138684993937e-05,8.38138684993937e-05
UDPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,9.93282368644405e-05,0.000111155258608856,8.38138684993937e-05,8.38138684993937e-05
dUTPP_c,Deoxyuridine-triphosphatase,nucleotide metabolism,9.93282368644405e-05,0.000111155258608856,8.38138684993937e-05,8.38138684993937e-05
dTMPS_c,Thymidylate synthase,nucleotide metabolism,9.93282368644405e-05,0.000111155258608856,8.38138684993937e-05,8.38138684993937e-05
dTMPK_c,Thymidine monophosphate kinase,nucleotide metabolism,9.93282368644405e-05,0.000111155258608856,8.38138684993937e-05,8.38138684993937e-05
dTDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,9.93282368644405e-05,0.000111155258608856,8.38138684993937e-05,8.38138684993937e-05
dUDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,9.93282368644405e-05,0.000111155258608856,8.38138684993937e-05,8.38138684993937e-05
Bio_opt,Light limiting biomass,biomass reaction,0.000143370096944991,0.000156580068378263,0.00012097670140355,0.000134418768226167
