Genotype,mean_A,sd_A
Col0,4.03977345402104,0.358987796235658
ggt2,3.76376640300871,0.266511857116859
ggt1-1,3.61557376128266,0.208718044509529
ggt1-2,3.66644059184481,0.179363448942443
hpr1-1,3.07727982213777,0.255670941730224
hpr1-2,3.24574825142518,0.450279083073083
