genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
ggt1-2,123,3.53798988433333e-05,9.1310227015e-06,1.4317054155e-05,2.14101580375e-06,1.449770556e-05,3.893806618e-06,1.72324451825e-05,3.69811142275e-06,9.877914228e-06,0.000199495034675,1.845064229e-05,7.9952524235e-05,3.7480533535e-06,4.99405092025e-06,2.9018234785e-05,1.53218996975e-06,1.2271059165e-06,3.7869841105e-06,3.13318608575e-05,4.1014662995e-06,2.19024396766667e-06,9.21704994e-06,4.82539536525e-05,4.56300394075e-06,1.16869076475e-05,3.278084041e-06,7.37164657825e-06,3.47787979975e-05,5.43462121675e-06,1.75111851325e-06,9.55021817225e-06,1.30666404275e-05,0.0001029986459575,1.2783576895e-06,8.051300042e-05,3.15851098425e-06,3.34685493325e-06
ggt2,-21,4.90019506925e-05,1.1164853025e-05,1.33000034533333e-05,2.524152192e-06,1.065330191425e-05,2.0120994105e-05,4.84816765266667e-05,3.698826937e-06,6.54566564e-05,0.000133688804975,4.28107622975e-05,6.955054849e-05,2.651072874e-06,1.86045175975e-05,3.3669002345e-05,1.6166227835e-06,1.35663836475e-06,3.779034511e-06,5.2865574385e-05,4.507478968e-06,2.87935583225e-06,1.7563035585e-05,4.13886880175e-05,4.48490661325e-06,1.1616497505e-05,5.77465548525e-06,7.3608957995e-06,2.75231699e-05,5.874227353e-06,1.540315016e-06,3.463949627e-05,1.40054664466667e-05,0.0001402804548,1.27486850475e-06,5.697138138e-05,3.17005440675e-06,4.8475268225e-06
ggt2,3,3.0086427525e-05,1.15537518775e-05,1.03517196966667e-05,2.57120556066667e-06,1.070446756825e-05,2.007481747125e-05,3.19234669325e-05,4.16017961275e-06,5.09274043125e-05,0.00017242492775,3.63484691975e-05,5.90487904775e-05,2.63481939125e-06,8.304163759e-06,2.91352747333333e-05,2.0135523445e-06,1.61068983975e-06,3.86013224425e-06,3.49145667666667e-05,3.758845896e-06,2.43820044575e-06,1.9630822085e-05,4.53999710866667e-05,4.393435288e-06,1.148320786e-05,4.76740952675e-06,6.965240141e-06,3.67260473466667e-05,5.852509391e-06,1.410139586e-06,4.055821545e-05,1.46761286133333e-05,0.000119959032975,1.27755043325e-06,5.19069817375e-05,3.05461031075e-06,4.868612016e-06
ggt2,27,2.95974415825e-05,1.108926258875e-05,1.00582088226667e-05,2.16294197775e-06,9.20638743775e-06,6.34701888766667e-06,1.45631476533333e-05,4.08409612833333e-06,1.891975119e-05,0.000151148663925,3.08640860766667e-05,7.04132917975e-05,2.6841831965e-06,5.6034344495e-06,2.6697164855e-05,1.53987502566667e-06,1.2895273885e-06,3.82538517833333e-06,1.43357174566667e-05,3.60185526533333e-06,2.35053005466667e-06,1.8519245665e-05,3.65125274633333e-05,4.2728568745e-06,1.17063294e-05,3.8469775295e-06,7.365043698e-06,3.27557902625e-05,5.92484233775e-06,1.09566308425e-06,3.72502703325e-05,1.19499708225e-05,0.0001099997853,1.2949331315e-06,4.09658418575e-05,2.99110699825e-06,3.59653509933333e-06
ggt2,75,4.5207395865e-05,8.937680093e-06,9.50523704233333e-06,2.1173527115e-06,9.41916690566667e-06,1.02112961915e-05,2.82288878925e-05,3.80305207233333e-06,3.011123227e-05,0.000130658409275,1.717368244e-05,8.4202959865e-05,2.67706111125e-06,4.663255783e-06,2.849666245e-05,1.663603065e-06,1.467297081e-06,3.70731548225e-06,3.03856789425e-05,3.03516985975e-06,2.35927033725e-06,1.9230904315e-05,4.74996751166667e-05,4.2294641735e-06,1.13279580225e-05,3.35810564525e-06,6.7246677605e-06,4.1962688825e-05,5.23758692475e-06,1.241870612e-06,2.485750853e-05,1.58380496775e-05,0.000106477905733333,1.3119160605e-06,4.74981090125e-05,2.9710708595e-06,3.782827718e-06
ggt2,123,2.79450272725e-05,8.54838653566667e-06,9.67736797025e-06,1.939995713e-06,9.17482065266667e-06,6.1626916745e-06,3.58931742325e-05,3.6921707485e-06,1.68295681525e-05,0.0001275895684,1.4175352275e-05,6.1936011945e-05,2.67934253125e-06,4.58268874475e-06,2.456854945e-05,1.34020837475e-06,1.15824230975e-06,3.53806847e-06,2.48361907266667e-05,2.96292266775e-06,2.28084367533333e-06,1.834584092e-05,3.542332712e-05,4.22889933225e-06,1.15637286225e-05,2.95205341525e-06,6.72329713175e-06,2.57691836566667e-05,5.157527011e-06,1.0862203335e-06,2.1852410815e-05,1.8411203435e-05,0.000103301729515,1.27866855933333e-06,5.66942009925e-05,2.9479682305e-06,2.3689212815e-06
hpr1-1,-21,1.9625834835e-05,1.108279699e-05,1.214773331e-05,2.6359799615e-06,1.68009232125e-05,6.33917298425e-06,6.975679831e-05,3.68015546975e-06,1.901918376e-05,0.000160423080425,3.30714452925e-05,0.0001154588255625,2.827006294e-06,3.03702825475e-05,8.22567589e-05,2.079785071e-06,1.76095054333333e-06,3.650796804e-06,0.0001211839947625,4.357006789e-06,2.830591688e-06,9.322720964e-06,5.19606094325e-05,4.9338717445e-06,1.17606467533333e-05,5.178184256e-06,7.16954229175e-06,3.03051633725e-05,5.484886552e-06,2.56250955525e-06,0.00011178683832,2.841410366e-05,0.00011675984485,1.2334298865e-06,5.734853546e-05,3.108036157e-06,4.36906242633333e-06
hpr1-1,3,1.6446985915e-05,1.164406689e-05,1.07433355135e-05,2.8601413335e-06,1.6390845315e-05,4.58003656175e-06,4.6452970635e-05,4.10654579866667e-06,1.09522641475e-05,0.000178490876325,2.61409871975e-05,0.0001250057374,2.8323053785e-06,1.304571644725e-05,5.835320011e-05,2.0555425385e-06,1.7290940585e-06,3.81596909525e-06,7.3104866445e-05,3.7442254775e-06,2.63549675475e-06,8.6055890685e-06,5.073651557e-05,4.919226017e-06,1.16883153433333e-05,3.9740164285e-06,7.1073442335e-06,2.61836774375e-05,5.71828674825e-06,2.5607875165e-06,0.00010421618446,2.694312032e-05,9.3643838995e-05,1.2388362535e-06,5.8513553105e-05,3.04440698925e-06,3.70878249775e-06
hpr1-1,27,1.97364690375e-05,9.5925751515e-06,9.72120475075e-06,2.24592749466667e-06,1.72145509275e-05,4.06917493166667e-06,3.27537243025e-05,4.86695634625e-06,9.33537856266667e-06,0.000149721043125,1.9515676075e-05,0.00010994176175,2.85213735e-06,7.7481459055e-06,4.01937002025e-05,2.0324133825e-06,1.76890480375e-06,3.95407419375e-06,5.928317333e-05,3.00129005433333e-06,2.34342443875e-06,8.1996318275e-06,4.794994536e-05,4.7594124915e-06,1.15419627425e-05,3.73684534175e-06,6.96440325675e-06,2.48520820725e-05,5.33382088366667e-06,2.568599502e-06,8.7521873285e-05,2.91320980725e-05,9.383903832e-05,1.220849376e-06,4.76574783866667e-05,3.0370401065e-06,3.61728612225e-06
hpr1-1,75,2.377270481e-05,9.10416025475e-06,9.639468676e-06,2.1720961445e-06,1.31501914475e-05,3.83847620366667e-06,4.07734587275e-05,3.59444336033333e-06,8.29650055375e-06,0.0001339336357375,1.60835690375e-05,0.00015051210275,2.8151366755e-06,7.34080848375e-06,5.212176764e-05,1.66397112933333e-06,1.44608324625e-06,3.45240029966667e-06,5.998960219e-05,3.12782660625e-06,2.33260768833333e-06,7.296720793e-06,4.63330063125e-05,4.29773776133333e-06,1.122490976e-05,3.198071504e-06,6.68845758466667e-06,3.8748741565e-05,4.97601438533333e-06,2.92718850675e-06,8.91528019266667e-05,3.15138051075e-05,8.969040602e-05,1.223965603e-06,5.01578856925e-05,2.90963489766667e-06,2.86743766866667e-06
hpr1-1,123,1.721478044425e-05,8.605228308e-06,9.1990182235e-06,1.97073935125e-06,1.27565318066667e-05,3.94859708625e-06,5.42108318975e-05,3.12540980066667e-06,7.8730258835e-06,0.000118304569,1.334691835e-05,0.000131200765675,2.5335485525e-06,6.717701149e-06,6.03303564575e-05,1.52540104733333e-06,1.14385333833333e-06,3.20847584525e-06,8.30561718975e-05,2.773162794e-06,2.2673319e-06,5.92895852e-06,4.81116482375e-05,4.8951147195e-06,1.124077854e-05,2.99111108366667e-06,6.534422364e-06,2.3628725755e-05,4.85107896525e-06,2.45450557475e-06,8.49998367775e-05,3.40726029933333e-05,8.85167838966667e-05,1.20773517133333e-06,4.43793736625e-05,2.85108362625e-06,2.207286878e-06
hpr1-2,-21,1.312759111e-05,1.79306062125e-05,1.3897244105e-05,3.077584598e-06,1.30169970025e-05,7.676141631e-06,4.807977123e-05,3.8655964145e-06,2.22664916125e-05,0.00020746985575,5.73180513775e-05,0.000119908341075,3.11100017475e-06,4.07404760375e-05,9.74777432025e-05,2.702049948e-06,2.21286169025e-06,3.69690604766667e-06,0.0001075206042775,4.62401183325e-06,3.29151860233333e-06,8.5887504575e-06,5.0803682785e-05,5.385407136e-06,1.142561023e-05,6.2368846645e-06,9.1166421865e-06,2.635458623e-05,6.048013116e-06,3.6143678045e-06,0.000123029612925,2.2701589975e-05,0.0001172552685,1.2334426505e-06,6.311005282e-05,3.31227839325e-06,5.12823961666667e-06
hpr1-2,3,2.41925189425e-05,1.5855319225e-05,1.4159130445e-05,3.275651379e-06,1.62065398625e-05,5.058496639e-06,2.70189188433333e-05,4.05674671725e-06,1.36672467033333e-05,0.000195219492,5.351305931e-05,0.00013147438415,3.26246071375e-06,2.305316006e-05,6.21820058075e-05,2.38589776825e-06,1.916885731e-06,4.06626211566667e-06,6.35387797775e-05,4.51917936066667e-06,3.02316712875e-06,1.0106419706e-05,7.74393004425e-05,5.14955153925e-06,1.15815691433333e-05,5.14954299475e-06,8.592253616e-06,2.9903611015e-05,6.33345552925e-06,3.028568092e-06,0.0001251224205,1.95487917066667e-05,9.6377230645e-05,1.22507964633333e-06,6.625529948e-05,3.131883501e-06,4.79386060266667e-06
hpr1-2,27,1.612259764e-05,1.049218130975e-05,1.00210785375e-05,2.23979145575e-06,1.2779055e-05,4.57323532e-06,2.08103666675e-05,3.84148524775e-06,1.19543969e-05,0.00017035946035,2.28434650975e-05,0.000101107410363333,3.1978434475e-06,8.5320111025e-06,4.10776795766667e-05,1.8279711535e-06,1.54078891125e-06,3.82765258425e-06,3.70449466025e-05,3.40945144433333e-06,2.30417594966667e-06,7.1219948215e-06,5.31819823325e-05,4.728710828e-06,1.18064962366667e-05,3.75141879875e-06,7.278684122e-06,2.1059034745e-05,5.8888975395e-06,2.58913179825e-06,9.08403177175e-05,2.437041032e-05,9.00552247925e-05,1.23220575875e-06,5.002788728e-05,3.038895164e-06,3.193113872e-06
hpr1-2,75,2.29566409275e-05,1.012359991225e-05,1.00917812453333e-05,2.1777160685e-06,1.1552988995e-05,3.871829769e-06,2.4192698615e-05,3.43815066625e-06,9.47272840466667e-06,0.000161333936833333,2.226528741e-05,0.0001239392383,2.90240986e-06,9.76732893866667e-06,4.37387399925e-05,1.6507100585e-06,1.29519364266667e-06,3.5190916315e-06,4.0988160835e-05,3.35777448666667e-06,2.4526430915e-06,7.109777675e-06,4.64516520325e-05,4.4677135065e-06,1.150845324e-05,3.47607758e-06,6.99680292566667e-06,2.96795259925e-05,5.51691330725e-06,2.051053768e-06,9.941220559e-05,2.066889444e-05,8.764136185e-05,1.2332972325e-06,4.834189714e-05,2.97056679275e-06,3.057432478e-06
hpr1-2,123,2.031043824e-05,9.38090666775e-06,1.081039537625e-05,2.12483932025e-06,1.33900356375e-05,4.030215433e-06,3.7471771265e-05,3.514527513e-06,8.43770633825e-06,0.000147679720525,1.711411948e-05,0.0001263551813,3.49408516625e-06,8.71462124275e-06,6.12757663625e-05,1.65056009566667e-06,1.30661282875e-06,3.366247625e-06,6.7586685215e-05,3.62280756666667e-06,2.490044387e-06,6.764893083e-06,4.191948147e-05,4.91430889725e-06,1.14833108775e-05,3.229040368e-06,6.79746841e-06,2.6641244825e-05,5.4053869935e-06,2.1313577635e-06,9.52662231e-05,2.69034886975e-05,8.73503197775e-05,1.21879844066667e-06,5.76086113e-05,3.01711482775e-06,2.62219948575e-06
