ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
FBPA_h,FBP aldolase,"Calvin-Benson cycle, glycolysis",1,1,0,1,-0.000231003576697475,8.93197931526252,-0.000117346936526985,20.2066450016539,0.186007287451362,9.1423620850253,-0.613884979165786,1.91400698071228
TPI_c,TP isomerase,"sucrose synthesis, gluconeogenesis, glycolysis",1,1,1,0,-990.81661990397,995.966765676941,-978.602603075165,993.460006698922,-2.23908878572113,9.18665708804411,5.91828708988706,7.46220890413564
MalDH1_m,Mal dehydrogenase,"tricarboxylic acid cycle, glyoxylate cycle",1,1,1,0,-1000,999.611139423426,-1000,1000,-0.594991166862489,13.9365057072024,14.951266406707,17.6897746929498
PyrPiDK_h,Pyr phosphate dikinase,"pyruvate metabolism",0,0,0,1,-0.636343338118278,-0.540483184738562,-1.75108714854474,-1.75064123017314,-0.793183625571938,-0.662357222338827,-0.620530666524264,0.149340714361068
GluDH3NADP_c,Glu dehydrogenase,"glutamate synthesis",1,1,0,1,-999.027857921074,997.060610658445,-997.642569617561,991.87696811549,-0.524178830369015,-0.0504494962767925,-0.377948714731751,1.70703178720708
Tr_DTC2A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.04693462282029,14.3787917931883,12.0404305851386,15.1089686835942
Tr_DTC3A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-14.1098241423849,1.3159022730428,-14.0315309031772,-10.8322311126796
Tr_NH41,NH4 diffusion,"transport",1,0,0,1,-0.0572074705383594,0.134313707239139,0.482757797892007,0.483534421256198,1.3544371262584,1.5962595572015,-0.195291440707763,0.465724693009426
Tr_Pyr1,Pyr diffusion,"transport",0,0,0,1,-0.282668738759138,-0.186792533420002,-0.912832478110662,-0.912304961548214,-0.559467305257299,-0.118468613870577,-0.372225280242238,0.496645925715813
Tr_Gly,Gly diffusion,"transport",0,1,1,0,-2.46221191058989,-2.42386968557307,-1.95578233308513e-05,2.34693893730598e-05,-4.47817757178357,0.315822015026079,-4.07642133729007,-4.04436049959004
